1560000089257641472,-0.10360,0.74463,0.02409,0.70996,-0.69661,-0.06861,0.07735,
1560000089357763328,-0.11369,0.76344,0.02397,0.70814,-0.69666,-0.07741,0.08492,
1560000089462478336,-0.12523,0.78464,0.02391,0.70652,-0.69625,-0.08782,0.09141,
1560000089529257472,-0.13227,0.79790,0.02403,0.70447,-0.69667,-0.09338,0.09822,
1560000089629425664,-0.14638,0.81662,0.02458,0.70197,-0.69576,-0.10522,0.10997,
1560000089729594112,-0.16306,0.83474,0.02548,0.69917,-0.69384,-0.11927,0.12456,
1560000089829762816,-0.18112,0.85233,0.02636,0.69597,-0.69142,-0.13417,0.13991,
1560000089929931264,-0.19898,0.86855,0.02729,0.69269,-0.68875,-0.14851,0.15408,
1560000090030099712,-0.21642,0.88350,0.02820,0.68930,-0.68592,-0.16207,0.16766,
1560000090130268160,-0.23473,0.89685,0.02893,0.68562,-0.68283,-0.17583,0.18097,
1560000090197047296,-0.24811,0.90608,0.02920,0.68269,-0.68080,-0.18533,0.19002,
1560000090297215488,-0.27136,0.91961,0.03028,0.67896,-0.67647,-0.19950,0.20397,
1560000090397383936,-0.29351,0.93151,0.03128,0.67489,-0.67210,-0.21322,0.21760,
1560000090495417856,-0.31659,0.94301,0.03208,0.67030,-0.66764,-0.22693,0.23121,
1560000090595571200,-0.34109,0.95328,0.03299,0.66505,-0.66236,-0.24200,0.24582,
1560000090695725056,-0.36424,0.96187,0.03383,0.65938,-0.65715,-0.25657,0.25988,
1560000090795878400,-0.38757,0.97096,0.03450,0.65384,-0.65228,-0.26987,0.27238,
1560000090862647552,-0.40437,0.97828,0.03473,0.64995,-0.64920,-0.27871,0.28006,
1560000090962800896,-0.43066,0.98664,0.03566,0.64442,-0.64341,-0.29209,0.29228,
1560000091062954752,-0.45635,0.99436,0.03645,0.63790,-0.63725,-0.30607,0.30548,
1560000091163108096,-0.48231,1.00003,0.03724,0.63095,-0.63069,-0.31997,0.31899,
1560000091263261696,-0.50653,1.00427,0.03808,0.62387,-0.62410,-0.33319,0.33206,
1560000091363415296,-0.52630,1.00664,0.03907,0.61670,-0.61752,-0.34564,0.34479,
